Donor,codename
Centre canadien d'étude et de coopération InterNationale (CECI),academia/think/research
Centre d'action pour le dévéloppement,academia/think/research
Centre de Développement Intégral (CDI/Yakoma),academia/think/research
"Centre de Recherche en Astronomie, Astrophysique et Geophysique",academia/think/research
Centre de Recherche et d'Appui aux Initiatives de Développement Intégré,academia/think/research
Centre d'Enseignement et de Recherche en Action Humanitaire,academia/think/research
Centre for Civil and Political Rights,academia/think/research
Centre for Humanitarian Dialogue,academia/think/research
Centre for InteNational Political Studies,academia/think/research
Centre for InterNational Political Studies,academia/think/research
Centre for InterNational Studies and Cooperation ,academia/think/research
Centre for Peacekeeping and Community Development,academia/think/research
Centre for Research on the Epidemiology of Disasters,academia/think/research
Centre pour la Promotion de la Sante,academia/think/research
Centrum voor Afrikaanse Cultuur,academia/think/research
Child Rights Information Network,academia/think/research
Collegio Universitario Aspirante e Medici Missionari,academia/think/research
Comité d’Appui à l’Auto Promotion,academia/think/research
Consultative Group on InterNational Agricultural Research,academia/think/research
Danish Bilharziasis Laboratory,academia/think/research
Danish Institute for Human Rights,academia/think/research
Danish Production School,academia/think/research
Daystar Christian Centre,academia/think/research
Demos Institute,academia/think/research
Development Initiatives,academia/think/research
Diplomatische Akademie Wien,academia/think/research
Ecole Polytechnique Fédérale De Lausanne,academia/think/research
Economic & Social Development Centre of Palestine,academia/think/research
Economic Research Forum,academia/think/research
Education Development Center,academia/think/research
EQUITAS - InterNational Centre for Human Rights Education,academia/think/research
FAFO ,academia/think/research
Feinstein Center,academia/think/research
Fiji Institution of Engineers,academia/think/research
Fleet Forum,academia/think/research
Florida InterNational University,academia/think/research
Forced Migration Review,academia/think/research
Fundación para las Relaciones Internacionales y el Diálogo Exterior,academia/think/research
Geneva Institute for Human Rights,academia/think/research
GeoForschungsZentrum Potsdam,academia/think/research
GFZ German Research Centre,academia/think/research
Global 2000 of the Carter Centre,academia/think/research
Global Centre for the Responsibility to Protect,academia/think/research
Global Public Policy Institute,academia/think/research
Global Reporting Initiative,academia/think/research
GROUPE URD,academia/think/research
Harvard University,academia/think/research
Heartland Alliance International,academia/think/research
Helse Bergen HF,academia/think/research
Heritage Foundation,academia/think/research
Høgskolen i Oslo,academia/think/research
Høyskolen i Buskerud,academia/think/research
Høyskolen i Oslo,academia/think/research
Humane Society of the United States,academia/think/research
Humanitarian Outcomes,academia/think/research
Humanitarian Policy and Conflict Research,academia/think/research
Humanitarian Policy Group,academia/think/research
IBIS,academia/think/research
ICIMOD,academia/think/research
ILP-InterNational Law and Policy Group,academia/think/research
INETER,academia/think/research
"Information Technology Outreach Services, U of Georgia",academia/think/research
INST. UNIV. DE HAUTES ETUDES INT.,academia/think/research
Institute for Human Rights and Business,academia/think/research
Institute for InterNational Social Affairs,academia/think/research
Institute of Development Studies,academia/think/research
Instituto Cabo Verdiano de Accao Social Escolar,academia/think/research
Instituto de Estudios del Hambre ,academia/think/research
Instituto Sou da Paz,academia/think/research
Institutt for Journalistikk,academia/think/research
Institutt for Sosiologi og Samfunnsgeografi,academia/think/research
InterNational Agricultural Research Center,academia/think/research
InterNational Center for Agricultural Research in Dry Areas ,academia/think/research
InterNational Center for Integrated Mountain Development,academia/think/research
"InterNational Centre for Diarrhoeal Disease Research, Bangladesh",academia/think/research
InterNational Centre for Migration Policy Development,academia/think/research
InterNational Centre for Transitional Justice,academia/think/research
InterNational Council on Human Rights Policy,academia/think/research
International Initiative for Impact Evaluation (3ie),academia/think/research
InterNational Institute of Rural Reconstruction ,academia/think/research
InterNational Institute of Tropical Agriculture,academia/think/research
InterNational Institute of Tropical Agriculture ,academia/think/research
International Law and Policy Institute,academia/think/research
InterNational NGO Training and Research Centre,academia/think/research
InterNational Peace Academy,academia/think/research
InterNational Peace and Cooperation Center (IPCC),academia/think/research
InterNational Peace Research Institute,academia/think/research
InterNational Potato Center,academia/think/research
InterNational Security Sector Advisory Team,academia/think/research
Irish Centre for Human Rights,academia/think/research
Irish Research Council for the humanities and Social Councils,academia/think/research
Islamic Centre of Tucson,academia/think/research
ISPED,academia/think/research
ISS - Institute for Security Studies,academia/think/research
IUED,academia/think/research
John Hopkins Center for Communication Programs,academia/think/research
John Hopkins University,academia/think/research
Joint Research Centre,academia/think/research
"Karolinska Institutet, Department of Public Health Sciences",academia/think/research
Kepal Perempuan,academia/think/research
Khartoum Teaching Hospital,academia/think/research
Kings College London,academia/think/research
Land Research Center ,academia/think/research
Life and Peace Institute,academia/think/research
LPDS - Dr. Soetomo Press Institute,academia/think/research
Ludwig Boltzmann Institute of Human Rights,academia/think/research
MA'AN Development Center,academia/think/research
Marshall Legacy Institute,academia/think/research
Medical Research Council,academia/think/research
Milinda Moragoda institute for people's empowerment,academia/think/research
Missionsärztliches Institut Würzburg,academia/think/research
Nasjonalt Folkehelseinstitutt,academia/think/research
National Society for Earthquake Technology,academia/think/research
Naval Medical Research Unit,academia/think/research
Nobels Fredssenter,academia/think/research
Non-Aligned Movement Institute for the Empowerment of Women,academia/think/research
Nordic Demining Research Forum,academia/think/research
Nordic Institute of Asian Studies,academia/think/research
Norges Geotekniske Institutt,academia/think/research
Norsk Ressursbank for demokrati og menneskerettigheter,academia/think/research
Norsk senter for menneskerettigheter,academia/think/research
North-South Institute,academia/think/research
NTNU,academia/think/research
NUPI - Norsk utenr.pol. inst. ,academia/think/research
"Organization for Refuge, Asylum and Migration",academia/think/research
österreichisches Nord-Süd-Institut,academia/think/research
Overseas Development Institute,academia/think/research
Oxford Research Group,academia/think/research
Oxford University,academia/think/research
Palestinian Farmers Association,academia/think/research
PCPM - Polish Center for InterNational Aid,academia/think/research
Peace and Conflict Institution,academia/think/research
"Population Leadership Program, the University of Washington",academia/think/research
"PRIO - InterNational Peace Research Institute, Oslo",academia/think/research
PUNTO SUD,academia/think/research
Raoul Wallenberg Institute of Human Rights and Humanitarian Law,academia/think/research
Refugee Studies Centre,academia/think/research
Remedial English and Science Course Centre,academia/think/research
Research Council of Norway,academia/think/research
Rural Reconstruction Nepal,academia/think/research
Samisk Høgskole,academia/think/research
San Remo Institute for Humanitarian Law,academia/think/research
"Seismic Research Unit, Univ. of West Indies",academia/think/research
Senter for Krisepsykologi,academia/think/research
"Senter for kunnskap og likestilling, Kvinneuniversitetet Nord",academia/think/research
SHA/National Autonomous University of Nicaragua,academia/think/research
SIPRI,academia/think/research
Small Arms Survey,academia/think/research
Société Algérienne de Recherche en Psychologie,academia/think/research
SPHERE,academia/think/research
Stockholm InterNational Peace Research Institute,academia/think/research
Swiss Academy for Military and Disaster Medicine,academia/think/research
Swisspeace,academia/think/research
The Carter Centre ,academia/think/research
The Cuny Center,academia/think/research
The Graduate Center,academia/think/research
The Harvard Program on Humanitarian Policy and Conflict Research,academia/think/research
The Hebrew University of Jerusalem,academia/think/research
Tingting Huang,academia/think/research
Tromsø Mineskadesenter/Tromsoe Mine Victim Resource Center,academia/think/research
Tsunami Evaluation Coalition,academia/think/research
Tufts University,academia/think/research
Tulane University,academia/think/research
Unité de Recherche et d'Action Médico Légale,academia/think/research
United Islamic Center,academia/think/research
Universal Rights Group,academia/think/research
Universidad de Chile,academia/think/research
Universidad de Las Villas,academia/think/research
"Universidad Nacional a Distancia, Costa Rica",academia/think/research
Universidad Nacional Autonoma de Honduras,academia/think/research
Universitetet i Oslo,academia/think/research
University of Capetown,academia/think/research
University of Colorado,academia/think/research
University of Geneva,academia/think/research
University of Miami,academia/think/research
University of Nebraska,academia/think/research
University of Neuchâtel,academia/think/research
University of Oxford - Refugee Studies Centre,academia/think/research
University of Rhode Island/SUCCESS LWA,academia/think/research
UniverSud-Liège,academia/think/research
Wilton Park,academia/think/research
World Agency of Planetary Monitoring and Earthquake Risk Reduction,academia/think/research
World Agroforestry Centre,academia/think/research
World Congress Against the Death Penalty,academia/think/research
World University Service,academia/think/research
WorldFish,academia/think/research
ZIF - Center for InterNational Peace Operations,academia/think/research
Pakistan Humanitarian Fund,CBPF
Sudan Humanitarian Fund,CBPF
occupied Palestinian territory Humanitarian Fund,CBPF
Haiti Humanitarian Fund,CBPF
Kenya ERF (until 2014),CBPF
Afghanistan ERF (until 2014),CBPF
Yemen Humanitarian Fund,CBPF
Zimbabwe ERF (until 2014),CBPF
Democratic Republic of the Congo Humanitarian Fund,CBPF
Central African Republic Humanitarian Fund,CBPF
Somalia Humanitarian Fund,CBPF
"Congo, Democratic Republic of the ERF (until 2013)",CBPF
Ethiopia Humanitarian Fund,CBPF
Colombia Humanitarian Fund,CBPF
Indonesia ERF (until 2014),CBPF
Myanmar Humanitarian Fund,CBPF
Iraq Humanitarian Fund,CBPF
Somalia ERF (until 2012),CBPF
South Sudan Humanitarian Fund,CBPF
South Sudan ERF (until 2014),CBPF
Lebanon Humanitarian Fund,CBPF
Jordan Humanitarian Fund,CBPF
Syrian Arab Republic Humanitarian Fund,CBPF
Uganda ERF (until 2010),CBPF
Afghanistan Humanitarian Fund,CBPF
Turkey Humanitarian Fund,CBPF
Nigeria Humanitarian Fund,CBPF
CHF - ERF funds transfer,CBPF
CHF Sudan/South Sudan Funding,CBPF
Common Humanitarian Fund,CBPF
Democratic Republic of the Congo Humanitarian Func,CBPF
Emergency Response Fund (OCHA),CBPF
ERF Recipients Outside Appeals,CBPF
Central Emergency Response Fund,CERF
Denmark,DAC governments
Austria,DAC governments
Canada,DAC governments
Finland,DAC governments
Germany,DAC governments
Sweden,DAC governments
Australia,DAC governments
Netherlands,DAC governments
Norway,DAC governments
Switzerland,DAC governments
United Kingdom,DAC governments
Ireland,DAC governments
United States of America,DAC governments
Spain,DAC governments
Belgium,DAC governments
Italy,DAC governments
Iceland,DAC governments
"Korea, Republic of",DAC governments
Japan,DAC governments
New Zealand,DAC governments
Czech Republic,DAC governments
France,DAC governments
Luxembourg,DAC governments
Poland,DAC governments
Hungary,DAC governments
Greece,DAC governments
Slovenia,DAC governments
Reunion,DAC governments
Portugal,DAC governments
Slovakia,DAC governments
ECHO DFID contribution,DAC governments
United States Department of Defense,DAC governments
Swiss Development Cooperation/Swiss Humanitarian Aid,DAC governments
Centers for Disease Control,DAC governments
KFW Development,DAC governments
AFD,DAC governments
Agencia Española de Cooperación Internacional,DAC governments
Army Corps of Engineers,DAC governments
Australian Community Assistance Scheme,DAC governments
Austrian Development Agency,DAC governments
Austrian Embassy/Armenia,DAC governments
BAM - Federal Institute for Materials Research and Testing,DAC governments
Belgian Air Force,DAC governments
Belgian First Aid and Support Team,DAC governments
BLD - Barne- og likestillingsdepartementet,DAC governments
BMVg,DAC governments
British Embassy in Khartoum (Sudan),DAC governments
BUCO - Bureau de la Coopération Suisse,DAC governments
BUCO - CRONGD,DAC governments
Buco Cotonou,DAC governments
Bundesanstalt Technisches Hilfswerk,DAC governments
Bundesministerium der Verteidigung,DAC governments
BWG/Changjang Water Resources Commission,DAC governments
Canadian Funds for Local Initiatives,DAC governments
Canadian InterNational Development Agency/InterNational Humanitarian Assistance,DAC governments
Catalan Agency for Development Cooperation,DAC governments
Chars Livelihoods Programme,NGOs
"CHMI, CTU/EPFL (Czech Hydrometeorological Institute)",DAC governments
City of Ingolstadt,DAC governments
City of Konstanz,DAC governments
City of Munich (Germany),DAC governments
Comité Interministériel pour l’Aide Alimentaire,DAC governments
Coopération Humanitaire Luxembourg,DAC governments
Coopération Technique Belge,DAC governments
"Council of A Coruna, Spain",DAC governments
"Council of Huelva, Spain (thru FAMSI)",DAC governments
Czech Republic Ministry of Foreign Affairs,DAC governments
DANIDA,DAC governments
Danidas Health Sector Programme Support ,DAC governments
Danish Assistance to the Self-Reliance Strategy,DAC governments
Danish Emergency Management Agency,DAC governments
Danish Ethiopian Mission,DAC governments
Danish Fellowship Centre,DAC governments
DDPS,DAC governments
Deutsche Gesellschaft fur Technische Zusammenarbeit - GTZ,DAC governments
Deutscher Entwicklungsdienst,DAC governments
Deutsches Komitee fur Katastrophenvorsorge e.V.,DAC governments
DEZA,DAC governments
Direktoratet for samfunnssikkerhet og beredskap,DAC governments
DKKV - German Committee for Disaster Reduction,DAC governments
Dutch InterNational Aid,DAC governments
DZI - German Central Institute for Social Issues ,DAC governments
Fairfax County Search and Rescue,DAC governments
FEA Austria DFA/UFAEG,DAC governments
Federal Foreign Office,DAC governments
FEWS,DAC governments
Forsvarets forskningsinstitutt,DAC governments
France Cooperation InterNationale,DAC governments
France Coopération InterNationale,DAC governments
German Embassy in Bangladesh,DAC governments
German Embassy Sofia,DAC governments
German Relation Office Ramallah,DAC governments
"Greek Embassy, Tehran",DAC governments
"Hyogo Prefecture, Japan",DAC governments
Icelandic Crisis Response Unit,DAC governments
ILR,DAC governments
Integrationsrat,DAC governments
Inter Cooperation,NGOs
Ireland Aid Mission,DAC governments
Italian Agency for Food Aid (AGEA),DAC governments
Italian Development Cooperation,DAC governments
Japan Disaster Relief,DAC governments
Japan International Cooperation Agency,DAC governments
Japan Self Defense Forces,DAC governments
JICA -  Japan InterNational Cooperation Agency,DAC governments
Justisdepartementet,DAC governments
"Leadership, Management and Sustainability Program",DAC governments
Los Angeles County Search and Rescue,DAC governments
MAAG,DAC governments
Meteorologisk Institutt,DAC governments
Ministry of Defense of Germany,DAC governments
MS Denmark,DAC governments
Netherlands Embassy in Namibia,DAC governments
New South Wales Relief Fund,DAC governments
Norfund,DAC governments
Norway Royal Ministry of Foreign Affairs,DAC governments
Norwegian Search and Rescue,DAC governments
Office of the Representative of Denmark to Afghanistan,DAC governments
Peace Corps,DAC governments
PLANAT,DAC governments
Portuguese Institute for Cooperation,DAC governments
Promoting Recovery in Zimbabwe,NGOs
Royal Danish Embassy - Jakarta,DAC governments
Royal Danish Representative Office in Colombo,DAC governments
Sivilombudsmannen,DAC governments
Spanish Agency InterNational Cooperation,DAC governments
Stadt Wien,DAC governments
Statens Forurensningstilsyn,DAC governments
Swedish Civil Contingencies Agency (MSB),DAC governments
Swiss Disaster Relief Unit,DAC governments
Swiss Embassy,DAC governments
Technisches Hilfswerk (THW),DAC governments
The Danish-Ethiopian Cooperation,DAC governments
The Emergency Management Agency of Greater Copenhagen,DAC governments
The National Platform for Natural Hazards,DAC governments
U.S. Committee for Refugees and Immigrants,DAC governments
U.S. Forest Service,DAC governments
Ulsan Metropolitan City,DAC governments
United Kingdom ,DAC governments
"United Kingdom - Dept. for InterNational Development - Conflict, Humanitarian and Security Department",DAC governments
United Kingdom Department for InterNational Development,DAC governments
United Kingdom Ministry of Defence,DAC governments
United States Department of Agriculture,DAC governments
United States Department of Health and Human Services,DAC governments
United States Department of State,DAC governments
United States Office for Foreign Disaster Assistance,DAC governments
US Embassy,DAC governments
US Forest Service,DAC governments
US Geological Survey,DAC governments
USAID Mission,DAC governments
USAID Recipient,DAC governments
USAID/ANE,DAC governments
USAID/Angola,DAC governments
USAID/Bangladesh,DAC governments
USAID/Conakry,DAC governments
USAID/Disaster Assistance Response Team,DAC governments
USAID/DRC,DAC governments
USAID/Ethiopia,DAC governments
USAID/Guinea,DAC governments
USAID/Haiti,DAC governments
USAID/Indonesia,DAC governments
USAID/Jamaica,DAC governments
USAID/Kenya,DAC governments
USAID/Khartoum,DAC governments
USAID/Liberia,DAC governments
USAID/Lilongwe,DAC governments
USAID/Madagascar,DAC governments
USAID/Malawi,DAC governments
USAID/Nepal,DAC governments
USAID/OTI,DAC governments
USAID/Regional Economic Development Services Office            ,DAC governments
USAID/Russia,DAC governments
USAID/Senegal,DAC governments
USAID/Somalia,DAC governments
USAID/South Africa,DAC governments
USAID/Sri Lanka,DAC governments
USAID/Uganda,DAC governments
USAID/West African Regional Programme,DAC governments
USAID/Zimbabwe,DAC governments
USAID’s Pastoralist Livelihoods Initiative,DAC governments
"Vitoria-Gasteiz, Municipality of (Spain)",DAC governments
European Commission,EC
European Commission's Humanitarian Aid and Civil Protection Department,EC
European Commission EuropeAid Development and Cooperation,EC
European Commission Rapid Reaction Mechanism,EC
European Commission Civil Protection Mechanism,EC
European Commission Directorate General for Development,EC
European Commission - EU Facility for Refugees in Turkey,EC
EU Regional Trust Fund in Response to the Syrian Crisis (Madad Fund),EC
European Commission Directorate-General External Relations,EC
EU Special Representative,EC
EU/DFSIS,EC
EuropeAid,EC
European Agency for Reconstruction,EC
European Centre for Disease Prevention and Control,EC
European Commission EuropeAid Co-operation Office,EC
European Commission Humanitarian Aid Office,EC
European Union,EC
European Union Border Assistance Mission,EC
European Union Programme Support Unit 1,EC
European Union Programme Support Unit 2,EC
MADAD FUND,EC
MIC EU Civil Protection,EC
PEGASE,EC
Stability Pact,EC
Korean Welfare Foundation,foundations
Eugene Bell Foundation,foundations
Lions Clubs International Foundation,foundations
UN Foundation,foundations
Deutsche Stiftung,foundations
International Corn Foundation,foundations
Packard Foundation,foundations
Fundacion Paz - Holandesa,foundations
Singapore International Foundation,foundations
Fondation Internationale Carrefour,foundations
Soros Foundation Open Society Institute,foundations
Bill and Melinda Gates Foundation,foundations
Dark & Light Foundation,foundations
International Youth Foundation,foundations
Cisco Foundation,foundations
"Gift of the Givers Foundation (Pietermaritzburg, RSA)",foundations
ZAYED Foundation,foundations
Sweet Mickey Foundation,foundations
William and Flora Hewlett Foundation,foundations
Tzu Chi Foundation,foundations
ADC Foundation,foundations
Netherlands Refugee Foundation,foundations
Open Society Institute Assistance Foundation,foundations
Juffali Foundation,foundations
Pan American Health and Education Foundation,foundations
Children of Peru Foundation (New York),foundations
Conrad N. Hilton Foundation,foundations
Floridon Foundation,foundations
Western Union Foundation,foundations
Foundation Vida Peru,foundations
JT International Foundation,foundations
SAFRA Edmond J. Philanthropic Foundation,foundations
Kingdom Foundation,foundations
UPS Foundation,foundations
Motorola Foundation,foundations
Charles Schwab Foundation,foundations
Baxter International Foundation,foundations
Tides Foundation,foundations
Stavros Niarchos Foundation,foundations
The Sigrid Rausing Trust,foundations
Digicel Foundation,foundations
Alexander Bodini Foundation,foundations
Khoo Teck Puat Foundation,foundations
Khalifa Bin Zayed Al Nahyan Foundation,foundations
General Motors Foundation,foundations
Jordanian River Society,foundations
Mohamed Bin Rashid Al Maktoum Humanitarian and Charity Establishment,foundations
Sultan Haji Hassanal Bolkiah Foundation,foundations
Sheikh Mohammad Shami Foundation,foundations
"ARIGATOU FOUNDATION, JAPAN",foundations
"CVS Caremark Charitable Trust, Inc.",foundations
Starbucks Foundation,foundations
Children's Investment Fund Foundation,foundations
BP Foundation,foundations
General Mills Foundation,foundations
IKEA Foundation,foundations
Levi Strauss Foundation,foundations
Medtronic Foundation,foundations
Lindner Foundation Uganda,foundations
Jolie-Pitt Foundation,foundations
Sheikh Thani bin Abdullah Foundation for Humanitarian Services,foundations
King Salman Humanitarian Aid and Relief Center,foundations
Medicor Foundation,foundations
"INTERVIDA FOUNDATION, SPAIN",foundations
Stromme Foundation,foundations
Sprint Foundation,foundations
COFRA,foundations
Elena Trevisanato Onlus Foundation,foundations
Museke Foundation,foundations
Butterfly Onlus Foundation,foundations
The Asfari Foundation,foundations
Education Above All Foundation,foundations
Robert Wood Johnson Foundation,foundations
Alcoa Foundation,foundations
ArcelorMittal Foundation,foundations
Foundation-NL,foundations
Virgin Unite,foundations
Rockefeller Foundation,foundations
Paul G. Allen,foundations
Open Society Foundations,foundations
Legatum Foundation,foundations
Cigna Foundation,foundations
Aliko Dangote's Foundation,foundations
Tony Elumelu Foundation,foundations
WELLCOME TRUST,foundations
Taiwan International Cooperation and Development Fund,foundations
IDeA Foundation,foundations
Ford Foundation,foundations
Repsol Foundation,foundations
Walmart Foundation,foundations
Mastercard Foundation,foundations
PepsiCo Foundation,foundations
Oak Foundation,foundations
Kulczyk Foundation,foundations
The Kvinna till Kvinna Foundation,foundations
The Nando and Elsa Peretti Foundation,foundations
King Abdullah Foundation,foundations
Radiohjälpen (Radio Aid Sweden),foundations
Pope for Ukraine,foundations
LEGO Foundation,foundations
Humanity United,foundations
Heinrich Böll Foundation,foundations
Stichting Vluchteling,foundations
Brother's Brother Foundation,foundations
Aga Khan Foundation,foundations
The Asia Foundation,foundations
Human Rights and Humanitarian Assistance Foundation,foundations
Foundation for Co-existence,foundations
Solidaridad Internacional,foundations
Fondation de France,foundations
Fondation Suisse pour le Déminage,foundations
Pan American Development Foundation,foundations
Kimse Yok Mu Solidarity Foundation,foundations
Swiss Solidarity,foundations
FUNDACION LA CAIXA (FLC),foundations
Help Syria through the Winter Foundation,foundations
AAPKI Foundation,foundations
Abdel Mohsen Qattan Foundation,foundations
Aetna Foundation,foundations
Airbus Foundation,foundations
Al Maktoum Foundation,foundations
Al-Khidmat Foundation,foundations
Allstate Foundation,foundations
Al-Sabeel Foundation for Social Development,foundations
AMAR Foundation,foundations
America's Development Foundation ,foundations
AMITY FOUNDATION,foundations
Annie E. Casey Foundation,foundations
Antares Foundation,foundations
Architectes de l'urgence,foundations
Asia Foundation,foundations
Association libanaise de l'Ordre de Malte,foundations
AT&T Foundation,foundations
Atlantic Philanthropies,foundations
ATLAS,foundations
Auschwitz-Birkenau Foundation,foundations
Awaz Foundation Pakistan Center for Development Services,foundations
"Balay Mindanaw Foundation, Inc.",foundations
Barclay's Foundation,foundations
Benfica Foundation,foundations
Bernard van Leer Foundation,foundations
Best Buy Children's Foundation,foundations
"Blue Cross and Blue Shield of Minnesota Foundation, Inc.",foundations
Boston Foundation,foundations
Boston Foundation (Ansara Family Fund),foundations
Buddhist Compassion Relief Tzu Chi Foundation,foundations
Build-A-Bear Workshop Foundation,foundations
Burton D. Morgan Foundation,foundations
Buuck Family Foundation,foundations
CAN FOUNDATION ,foundations
Canada Safeway Foundation,foundations
Canadian Relief Foundation,foundations
CareSource Foundation,foundations
Carnegie Corporation of New York,foundations
Center for Citizenship Education,foundations
Central Ecuatoriana de Servicios Agricolas,foundations
Central Minnesota Community Foundation ,foundations
Centre for Safety and Development,foundations
Child Development Foundation,foundations
Chrysler Foundation,foundations
Cleveland Foundation,foundations
Clinton Foundation,foundations
Coastal Community Foundation of South Carolina,foundations
Community Foundation for Southern Arizona,foundations
Community Foundation of Broward,foundations
Cummins Foundation,foundations
Democratic Control of Armed Forces,foundations
Department of Ecumenical Relations and Development,foundations
Dinah Falala & Phoebe Sandi Foundation,foundations
East Bay Community Foundation,foundations
eBay Foundation,foundations
Edith Wilkins Hope Foundation,foundations
"Education, Health, Social Awareness and Rehabilitation Foundation",foundations
Equilibre,foundations
Ernesto Sabato Foundation,foundations
Esperanza InterNational Foundation,foundations
Euro-Mediterranean Foundation of Support to Human Rights Defenders,foundations
European Meeting Centre - Nowy Staw Foundation,foundations
"F. M. Kirby Foundation, Inc.",foundations
FAIRMED Foundation,foundations
Fairmount Minerals Foundation,foundations
FICASE,foundations
Fondasyon Kole Zepol,foundations
Fondation Chreschte mam Sahel,foundations
Fondation Femmes plus,foundations
Fondation Hirondelle,foundations
Fondation Luxembourgeoise Raoul Follereau,foundations
Fondation Meninos e Meninas de Rua,foundations
Fondation Mérieux,foundations
Fondation Orient Occident ,foundations
FONDATION POUR L INSTITUT,foundations
Fondation pour le Développement et l'Encadrement des Familles Haitiennes,foundations
Fondation Raoul Follereau,foundations
Foundation for European Development Assistance,foundations
Foundation for the Future,foundations
Foundation for the Peoples of the South Pacific International,foundations
Foundation for the Refugee Trust,foundations
Foundation Limmat,foundations
Foundation Politeon,foundations
Foundation Signs,foundations
Foundation Together,foundations
FPL Group Foundation,foundations
Fred Hollows Foundation,foundations
Friends Foundation,foundations
FSS,foundations
Fundación Amalaka,foundations
Fundación Antonio Restrepo Barco,foundations
