Recipient.Organization,recipientcodename
China Centre for Disease Control and ¬†Asia-Australia Mental Health,NGOs
Associazione Italiana per la SolidarietÌ† tra I Popoli,NGOs
FederaciÛn Internacional Fe y AlegrÌ≠a,NGOs
Pro Familia Switzerland,NGOs
Sheikh Thani bin Abdullah Foundation for Humanitarian Services (RAF),NGOs
Association des Jeunes Islamiques pour le DÈveloppement,NGOs
Bureau des ‡uvres mÈdicales diocÈsaines (BDOM),NGOs
ComitÈ díAppui Ì† líAuto Promotion,NGOs
Synergie pour la lutte antimines,NGOs
Federation des ONG laiques Ì† Vocation Economique du Congo,NGOs
Association d'aide Ì† la femme et de la communication,Undefined
CARITAS DEVELOPPEMENT MAHAGI-NIOKA,NGOs
Actions pour le DÈveloppement IntÈgral par la Conservation Communautaire,NGOs
American Academy of Pediatrics,academia/think/research
Caritas Kasongo,NGOs
Action des Volontaires Unis pour le DÈveloppement et la SantÈ,NGOs
Action pour la Promotion de líEnvironnement Social,NGOs
Help a Child International (Red een Kind),NGOs
MÈdicos del Mundo Argentina,NGOs
Di·logo Diverso,NGOs
Arab Organization for Human Rights,NGOs
Fondazione ‚ÄúOpera San Francesco Saverio‚Äù CUAMM,NGOs
A Call to Serve International,NGOs
"Gambian Red Cross Society, The",red cross
Al Diaa Humanitarian Association,NGOs
KSPM-ERP Integration Centre for Migrant Workers - Ecumenical Refugee Program,NGOs
METAdrasi - Action for Migration and Development,NGOs
"Planned Parenthood Federation, International",NGOs
Holt International Childrens Services,NGOs
Ìíganizasyon Fanm tou NËf Balan,Undefined
Cross International Cathoilc Outreach,NGOs
Nos Petits FrËres et S‡urs - Haiti,NGOs
Esperanza International Foundation,NGOs
International Lifeline Fund,NGOs
International Movement ATD Fourth World,NGOs
Family Health International - FHI 360,NGOs
Manitoba Council for International Co-operation,NGOs
Aide Ì† l'Enfance de Canada,NGOs
Forward Edge International,NGOs
Multi-Partner Trust Fund,UN Multi
AS-SALAM EDUCATIONAL CENTRE,NGOs
Markazu Ihyail Fikril Islami Institute,NGOs
Aide Ì† l''Enfance de l''Inde,NGOs
Moulana Ali Miyan Nadwi Educational and Charitable Trust,NGOs
Al-Jamia Saadatul Uloom Trust,academia/think/research
Jamia Islamia Ishaatul Uloom,NGOs
Jamia Darussalam,academia/think/research
Madeenathul-uloom Educational And Charitable Trust,NGOs
Guidance Educational And Welfare Society,NGOs
Faisal Educational Society,NGOs
WeWorld Onlus,NGOs
Khanpur Azad Gram Unnayan Samity,NGOs
Organization of Islamic Cooperation,Other multi
Central Board of Nahdlatul Ulama,NGOs
Terre des Hommes International | Terre des Hommes - Italy,NGOs
International Academy for Leadership and Development (IALD),NGOs
Women Rehabilitation Organization,NGOs
Rebuild Iraq Recruitment Program | Qatar Red Crescent Society,red cross
Action Contre la Faim | ACF - France,NGOs
TAJDID Iraq¬†Foundation for Economic Development,NGOs
King Hussein Cancer Foundation,NGOs
Islamic Relief Jordan,NGOs
SPARK,NGOs
Caritas Austria | CARITAS,NGOs
Al Hussein Society Jordan Center for Training and Inclusion (AHS),NGOs
The Israel Forum for International Humanitarian Aid,NGOs
FilmAid International,NGOs
Action Africa Help International,NGOs
Kiribati,National government
Psykisk Helsevern Ìòstfold HF v/ Norum,NGOs
Assanabil Foundation,NGOs
CitiHope International,NGOs
Lebanese Association for Rehabilitation and Development,NGOs
Subul Al Salam Social Association,NGOs
Zakat Fund,NGOs
Children Cancer Centre of Lebanon,NGOs
AMURT (Ananda Marga Universal Relief Team) (USA),NGOs
Marsa Sexual Health Center,NGOs
The Ghassan Kanfani Cultural Foundation,NGOs
Durrell Wildlife Conservation Trust,NGOs
SDGs Promise Japan,NGOs
Age International,NGOs
Bremen Overseas Research and Development Association,NGOs
World Vision Mozambique,NGOs
Bollore Logistics USA Inc.,private sector corporations
Istituto Oikos onlus,NGOs
O.K.I General Trading L.L.C.,private sector corporations
Associazione SolidarietÌ† e lo Sviluppo - Confederazione Italiana Agricoltori,NGOs
Gorongosa Project,NGOs
SwissLimbs,NGOs
Disasters Emergency Committee Cyclone Idai,CERF
INGO Forum Myanmar,NGOs
Wan Lark  Foundation,NGOs
Community Care for Emergency Response and Rehabilitation,NGOs
Pan Ka Lay,NGOs
Center for Social Integrity,NGOs
Wunpawng Ninghtoi,NGOs
Spectrum - Sustainable Development Knowledge Network,NGOs
Commission Nationale des Droits de líHomme de Mauritanie,NGOs
Women for the World,NGOs
Thazin Community Development Initiative,NGOs
MA-UK Myanmar Serving Humanity,NGOs
People for People,NGOs
Asian Harm Reduction Network,NGOs
Hpa-an Orthoqaedic Rehabilitation Centre,red cross
Katchin Women's Association Thailand,NGOs
ActionAid International Nepal,NGOs
Nepal Development Society (NEDS),NGOs
Plan Niger | Plan Ireland,NGOs
Caritas Niger/Caritas DÈveloppement Niger,NGOs
Femmes Unies contre la Malnutrition - Kundji Fondo,NGOs
World Food Programme | United Nations Humanitarian Air Service,UN Multi
United Nations Humanitarian Air Service | World Food Programme,UN Multi
GOALPrime Organization Nigeria,NGOs
Zireenza Support Foundation,NGOs
Centre for Integrated Development and Research,NGOs
Learning Through Skills Acquisition Initiative,NGOs
Food & Agriculture Organization of the United Nations | World Food Programme,UN Multi
Sagric Intenational Pty Ltd,private sector corporations
International Peace and Cooperation Center (IPCC),NGOs
Gazze Destek Derneƒüi (Gaza Support Association),NGOs
Physicians for Human Rights Israel,NGOs
World Food Programme | Food & Agriculture Organization of the United Nations,UN Multi
Sebil Insani Yardim Dernegi,foundations
Arab Red Crescent and Red Cross Organization,red cross
Al Mezan Center for Human Rights,NGOs
Indivduell MÌ†nniskohjÌ†lp - Swedish NGO,NGOs
Kandil Development and Aid Association (Kandil Kalkƒ±nma ve Yardƒ±mla‡ma Derneƒüi),NGOs
"Association for Water, Applied Education and Renewable Energy",NGOs
Global Youth Organization,NGOs
Response International,NGOs
"Water, Environment & Sanitation Society",NGOs
Mindanao Modern Education and Development Foundation,NGOs
Stanis‡awa Bie‡czak Child Support Foundation (Fundacja Pomocy Dzieciom im. Stanis‡awy Bie‡czak),NGOs
Danish Refugee Council/AFS Danish People's Aid,NGOs
UK-Med,NGOs
Senegalese Red Cross Society,red cross
ONG Arpieca,NGOs
Sierra Leone Red Cross Society,red cross
Health Education Agro-pastoral Liaison,NGOs
Save Somali Women and Children,NGOs
Centre for Peace and Democracy,NGOs
Fathurahman Charitable Association,NGOs
Benadir Charity Council,NGOs
Northern Frontier Youth League,NGOs
Comitato Europeo per la Formazione in Agricoltura,NGOs
KAALO Aid and Development,NGOs
Iftiin Education and Development,NGOs
Healthcare Foundation Organization,NGOs
Coalition for Humanity South Sudan,NGOs
Health Action Aid,NGOs
Charity Mission Corps,NGOs
Rural Health Services,academia/think/research
Food Agriculture and Disaster Management,NGOs
United Networks for Health,NGOs
Women Aid Vision,NGOs
Ujamaa na Watoto Wenye Haki Initiative,NGOs
Sudan Evangelical Mission,NGOs
Green Belt Initiative,foundations
Humanity Empowerment and Leadership Promotion Organization,NGOs
Support the Empowerment of Women and their Rights for Development,NGOs
The Rescue Mission,NGOs
Humanitarian Aid for Development,NGOs
South Sudan Grassroot Initiative for Development,NGOs
Great Commission Operation Mercy,NGOs
Operation Save Innocent Lives - Partners in Relief and Development,NGOs
American Center for International Labor,NGOs
Global Hope Network International,NGOs
South Sudanese Development Organization,NGOs
Marie Stopes International,NGOs
Alshrooq Organisation for Social and Cultural Development,NGOs
Islamic Relief Worldwide | Almassar Charity organization for Nomadís Development and Environmental Conservation,NGOs
Syria Cross-border Humanitarian Fund,CBPF
Fida International | ZOA,NGOs
Ata'a for Relief and Development,NGOs
Nour Foundation for Relief and Development,NGOs
International Organization for Community Development and Humanitarian Support,NGOs
Dummar Youth Charity,NGOs
Hand in Hand For Aid and Development,NGOs
Syria Al Yamama Charity Association (SYCA),NGOs
Ghiras Alnahda Organization,NGOs
Regional Development and Protection Programme in the Middle East,Other multi
The Foundation for Advancing Development Integration,NGOs
WATAN Foundation,NGOs
Sustainable International Medical Relief Organization,NGOs
Syrian Association for Relief and Development,NGOs
Big Heart Foundation,NGOs
Seeds of Hope (Bozzor Alamal),NGOs
World Vision Ireland | World Vision International,NGOs
"Syria Resilience Consortium (CARE, DRC, HI, IRC, NRC & Mercy Corps)",EC
Afkar Foundation,NGOs
Al Wasel Association,NGOs
Children of One World (Bir D¸nya «ocuk),NGOs
White Hand Organization for Development,NGOs
"Charity Foundation ""Lona""",foundations
Association Marhama,NGOs
AlSham Assocation,NGOs
Al-Khair Foundation (AKF),NGOs
Horan Islamic Society,NGOs
Al Sham Humanitarian Foundation,foundations
European Commission - EU Facility for Refugees in Turkey,EC
Uganda ERF (until 2010),CBPF
ActionAid International Uganda,NGOs
Donbas SOS,NGOs
United Nations Children's Fund | PremiËre Urgence (until 2010),other
Danish Refugee Council | Danish De-mining Group,NGOs
Caritas Venezuela,NGOs
FundaciÛn Entreculturas - Fe y AlegrÌ≠a,NGOs
Al-Twasul For Human Development,NGOs
Health and Education Association for Development,NGOs
"Yemen General Union of Sociologists, Social Workers and Psychologists",NGOs
Relief and Development Peer Foundation,NGOs
Abyan Youth Foundation,foundations
Al-basar International Foundation,NGOs
Selah Foundation for Development,foundations
United Nations Verification and Inspection Mechanism for Yemen,UN Multi
Yemen Alkhair For Relief and Development Foundation,NGOs
Charitable Heart Foundation,NGOs
Hand by Hand Foundation,NGOs
DIA - Social Justice in Development,NGOs
OXFAM GB | OXFAM,NGOs
World Vision Zambia,NGOs
Self Help Africa,NGOs
ActionAid International Zimbabwe,NGOs
Swedish Mission Council | PMU-Interlife,NGOs
Remedial English and Science Course Centre,academia/think/research
Life and Peace Institute,academia/think/research
IUED,academia/think/research
Overseas Development Institute,academia/think/research
ˆsterreichisches Nord-S¸d-Institut,academia/think/research
Medical Research Council,academia/think/research
Center for  Civil Military Relations,academia/think/research
Centre for International Political Studies,academia/think/research
University of Nebraska,academia/think/research
Centre for Peacekeeping and Community Development,academia/think/research
Institute for International Social Affairs,academia/think/research
"Episcopal Conference, Peru",academia/think/research
Universidad de Las Villas,academia/think/research
Active Learning Network for Accountability and Performance,academia/think/research
Carl Duisberg Gesellschaft,academia/think/research
Afghan Research and Evaluation Unit,academia/think/research
Harvard University,academia/think/research
"Karolinska Institutet, Department of Public Health Sciences",academia/think/research
The Carter Centre,academia/think/research
Norges Geotekniske Institutt,academia/think/research
Tufts University,academia/think/research
Academy for Educational Development,academia/think/research
University of Geneva,academia/think/research
International Center for Agricultural Research in Dry Areas,academia/think/research
Wilton Park,academia/think/research
Khartoum Teaching Hospital,academia/think/research
Academy Charity Teaching Hospital,academia/think/research
Global 2000 of the Carter Centre,academia/think/research
International Peace Research Institute,academia/think/research
The Cuny Center,academia/think/research
Feinstein Center,academia/think/research
Abt Associates,academia/think/research
Danish Production School,academia/think/research
University of Colorado,academia/think/research
Development Initiatives,academia/think/research
John Hopkins University,academia/think/research
World University Service,academia/think/research
Florida International University,academia/think/research
Education Development Center,academia/think/research
CDE - University Berne,academia/think/research
GeoForschungsZentrum Potsdam,academia/think/research
"International Centre for Diarrhoeal Disease Research, Bangladesh",academia/think/research
Danish Bilharziasis Laboratory,academia/think/research
Peace and Conflict Institution,academia/think/research
SociÈtÈ AlgÈrienne de Recherche en Psychologie,academia/think/research
International Institute of Tropical Agriculture,academia/think/research
International Peace Academy,academia/think/research
Nordic Demining Research Forum,academia/think/research
Applied Research Institute Jerusalem,academia/think/research
INETER,academia/think/research
ICIMOD,academia/think/research
International NGO Training and Research Centre,academia/think/research
San Remo Institute for Humanitarian Law,academia/think/research
Consultative Group on International Agricultural Research,academia/think/research
Berne University,academia/think/research
Diplomatische Akademie Wien,academia/think/research
National Society for Earthquake Technology,academia/think/research
Tsunami Evaluation Coalition,academia/think/research
Ecole Polytechnique FÈdÈrale De Lausanne,academia/think/research
Swiss Academy of Development,academia/think/research
ISPED,academia/think/research
World Agroforestry Centre,academia/think/research
International Agricultural Research Center,academia/think/research
GROUPE URD,academia/think/research
Humanitarian Policy Group,academia/think/research
International Center for Integrated Mountain Development,academia/think/research
"Seismic Research Unit, Univ. of West Indies",academia/think/research
PUNTO SUD,academia/think/research
University of Capetown,academia/think/research
Norsk senter for menneskerettigheter,academia/think/research
"PRIO - International Peace Research Institute, Oslo",academia/think/research
Nobels Fredssenter,academia/think/research
World Agency of Planetary Monitoring and Earthquake Risk Reduction,academia/think/research
Oxford University,academia/think/research
"Universidad Nacional a Distancia, Costa Rica",academia/think/research
Instituto Cabo Verdiano de Accao Social Escolar,academia/think/research
"Centre de Recherche en Astronomie, Astrophysique et Geophysique",academia/think/research
Irish Centre for Human Rights,academia/think/research
Danish Institute for Human Rights,academia/think/research
Instituto de Estudios del Hambre,academia/think/research
H¯yskolen i Buskerud,academia/think/research
Kings College London,academia/think/research
Helse Bergen HF,academia/think/research
Universitetet i Oslo,academia/think/research
Abo Akademi University,academia/think/research
"Sunnaas sykehus HF, Forskningsavdelingen",academia/think/research
INST. UNIV. DE HAUTES ETUDES INT.,academia/think/research
NUPI - Norsk utenr.pol. inst.,academia/think/research
NTNU,academia/think/research
The Graduate Center,academia/think/research
International Security Sector Advisory Team,academia/think/research
Centre d'action pour le dÈvÈloppement,academia/think/research
Institute of Development Studies,academia/think/research
Network on Humanitarian Assistance,academia/think/research
H¯gskolen i Oslo,academia/think/research
The Hebrew University of Jerusalem,academia/think/research
Geneva Institute for Human Rights,academia/think/research
Nordic Institute of Asian Studies,academia/think/research
AMMAN CENTER HUMAN RIGHTS STUDIES,academia/think/research
EQUITAS - International Centre for Human Rights Education,academia/think/research
Global Reporting Initiative,academia/think/research
UniverSud-LiËge,academia/think/research
Swisspeace,academia/think/research
Tulane University,academia/think/research
"Population Leadership Program, the University of Washington",academia/think/research
SPHERE,academia/think/research
World Congress Against the Death Penalty,academia/think/research
Joint Research Centre,academia/think/research
Stockholm International Peace Research Institute,academia/think/research
International Council on Human Rights Policy,academia/think/research
Troms¯ Mineskadesenter/Tromsoe Mine Victim Resource Center,academia/think/research
Milinda Moragoda institute for people's empowerment,academia/think/research
Forced Migration Review,academia/think/research
Institutt for Sosiologi og Samfunnsgeografi,academia/think/research
Small Arms Survey,academia/think/research
North-South Institute,academia/think/research
Humanitarian Outcomes,academia/think/research
PCPM - Polish Center for International Aid,academia/think/research
International Law and Policy Institute,academia/think/research
"Senter for kunnskap og likestilling, Kvinneuniversitetet Nord",academia/think/research
Child Rights Information Network,academia/think/research
University of Oxford - Refugee Studies Centre,academia/think/research
Centre for Research on the Epidemiology of Disasters,academia/think/research
Centre d'Enseignement et de Recherche en Action Humanitaire,academia/think/research
Marshall Legacy Institute,academia/think/research
"Information Technology Outreach Services, U of Georgia",academia/think/research
International Potato Center,academia/think/research
University of Neuch‚tel,academia/think/research
Global Public Policy Institute,academia/think/research
WorldFish,academia/think/research
Global Centre for the Responsibility to Protect,academia/think/research
Universidad de Chile,academia/think/research
Norsk Ressursbank for demokrati og menneskerettigheter,academia/think/research
Ludwig Boltzmann Institute of Human Rights,academia/think/research
Institute for Human Rights and Business,academia/think/research
Economic Research Forum,academia/think/research
Fiji Institution of Engineers,academia/think/research
The SEEP Network,academia/think/research
Center for Research on the Epidemiology of Disasters,academia/think/research
B'Tselem - the Israeli Information Center for Human Rights in the Occupied Territories,academia/think/research
Research Council of Norway,academia/think/research
Bjerknes Centre for Climate Research,academia/think/research
Institutt for Journalistikk,academia/think/research
Oxford Research Group,academia/think/research
Instituto Sou da Paz,academia/think/research
Article 36,academia/think/research
Assessment Capacities Project,academia/think/research
Missions‰rztliches Institut W¸rzburg,academia/think/research
Joint IDP Profiling Service,academia/think/research
Humanitarian Policy and Conflict Research,academia/think/research
Centre for Civil and Political Rights,academia/think/research
Fleet Forum,academia/think/research
International Initiative for Impact Evaluation (3ie),academia/think/research
John Hopkins Center for Communication Programs,academia/think/research
Famine Early Warning Sytem,academia/think/research
International Centre for Migration Policy Development,academia/think/research
Universal Rights Group,academia/think/research
Raoul Wallenberg Institute of Human Rights and Humanitarian Law,academia/think/research
Demos Institute,academia/think/research
Center for Applied Linguistics,academia/think/research
"Organization for Refuge, Asylum and Migration",academia/think/research
Palestinian Farmers Association,academia/think/research
GFZ German Research Centre,academia/think/research
Refugee Studies Centre,academia/think/research
International Maize and Wheat Improvement Center,academia/think/research
American University of Nigeria,academia/think/research
REACH Initiative,academia/think/research
University of Hawaii at Manoa,academia/think/research
Ground Truth Solutions,academia/think/research
HERE-Geneva,academia/think/research
George Washington University,academia/think/research
Center for Strategic and International Studies,academia/think/research
Consejo Superior Universitario Centroamericano,academia/think/research
"International Business & Technical Consultants, Inc.",academia/think/research
Johns Hopkins University,academia/think/research
Purdue University,academia/think/research
The Legal Agenda,academia/think/research
The Cash Learning Partnership,academia/think/research
Center for Womenís Legal Research and Consulting,academia/think/research
Centre de DÈveloppement IntÈgral (CDI/Yakoma),academia/think/research
CEDI,academia/think/research
Centre de Recherche et d'Appui aux Initiatives de DÈveloppement IntÈgrÈ,academia/think/research
UnitÈ de Recherche et d'Action MÈdico LÈgale,academia/think/research
Sustainable Development Foundation,academia/think/research
AABO AKADEMI UNIVERSITY,academia/think/research
Agricultural Research Corporation,academia/think/research
American Institutes for Research,academia/think/research
AREU - Afghan Research and Evaluation Unit,academia/think/research
Award,academia/think/research
BGR - German Federal Institute for Geosciences and Natural Resources ,academia/think/research
Burnet Institute,academia/think/research
Center for Culture and Development,academia/think/research
Center for Disease Control and Prevention,academia/think/research
Centre for InteNational Political Studies,academia/think/research
Centre for InterNational Studies and Cooperation ,academia/think/research
Centre pour la Promotion de la Sante,academia/think/research
Centrum voor Afrikaanse Cultuur,academia/think/research
Daystar Christian Centre,academia/think/research
FAFO ,academia/think/research
First Moscow Gymnasium,academia/think/research
FundaciÛn para las Relaciones Internacionales y el Di·logo Exterior,academia/think/research
Heritage Foundation,academia/think/research
H¯yskolen i Oslo,academia/think/research
Humane Society of the United States,academia/think/research
IDRC,academia/think/research
ILP-InterNational Law and Policy Group,academia/think/research
Imperial College,academia/think/research
Instituto de Estudios del Hambre ,academia/think/research
InterNational Center for Agricultural Research in Dry Areas ,academia/think/research
InterNational Institute of Rural Reconstruction ,academia/think/research
InterNational Institute of Tropical Agriculture ,academia/think/research
Irish Research Council for the humanities and Social Councils,academia/think/research
Islamic Centre of Tucson,academia/think/research
ISS - Institute for Security Studies,academia/think/research
Kepal Perempuan,academia/think/research
Land Research Center ,academia/think/research
LPDS - Dr. Soetomo Press Institute,academia/think/research
Monterey Institute of InterNational Studies,academia/think/research
Nasjonalt Folkehelseinstitutt,academia/think/research
Naval Medical Research Unit,academia/think/research
Non-Aligned Movement Institute for the Empowerment of Women,academia/think/research
NUPI - Norsk utenr.pol. inst. ,academia/think/research
Rural Reconstruction Nepal,academia/think/research
Samisk H¯gskole,academia/think/research
Senter for Krisepsykologi,academia/think/research
SHA/National Autonomous University of Nicaragua,academia/think/research
SIPRI,academia/think/research
Swiss Academy for Military and Disaster Medicine,academia/think/research
The Carter Centre ,academia/think/research
The Harvard Program on Humanitarian Policy and Conflict Research,academia/think/research
Tingting Huang,academia/think/research
United Islamic Center,academia/think/research
Universidad Nacional Autonoma de Honduras,academia/think/research
University of Miami,academia/think/research
University of Rhode Island/SUCCESS LWA,academia/think/research
International Institute of Rural Reconstruction,academia/think/research
Land Research Center,academia/think/research
Sudan Humanitarian Fund,CBPF
Democratic Republic of the Congo Humanitarian Fund,CBPF
Ethiopia Humanitarian Fund,CBPF
Iraq Humanitarian Fund,CBPF
occupied Palestinian territory Humanitarian Fund,CBPF
Zimbabwe ERF (until 2014),CBPF
Central African Republic Humanitarian Fund,CBPF
Haiti Humanitarian Fund,CBPF
Somalia ERF (until 2012),CBPF
Myanmar Humanitarian Fund,CBPF
Kenya ERF (until 2014),CBPF
Colombia Humanitarian Fund,CBPF
Afghanistan ERF (until 2014),CBPF
Yemen Humanitarian Fund,CBPF
Somalia Humanitarian Fund,CBPF
"Congo, Democratic Republic of the ERF (until 2013)",CBPF
Indonesia ERF (until 2014),CBPF
Pakistan Humanitarian Fund,CBPF
South Sudan Humanitarian Fund,CBPF
South Sudan ERF (until 2014),CBPF
Syrian Arab Republic Humanitarian Fund,CBPF
Afghanistan Humanitarian Fund,CBPF
Turkey Humanitarian Fund,CBPF
Lebanon Humanitarian Fund,CBPF
Jordan Humanitarian Fund,CBPF
Nigeria Humanitarian Fund,CBPF
CHF - ERF funds transfer,CBPF
CHF Sudan/South Sudan Funding,CBPF
Common Humanitarian Fund,CBPF
Emergency Response Fund (OCHA),CBPF
ERF Recipients Outside Appeals,CBPF
Democratic Republic of the Congo Humanitarian Func,CBPF
Central Emergency Response Fund,CERF
Deutsche Gesellschaft f¸r Internationale Zusammenarbeit,DAC governments
Danish Assistance to the Self-Reliance Strategy,DAC governments
Swiss Development Cooperation/Swiss Humanitarian Aid,DAC governments
Bundesanstalt Technisches Hilfswerk,DAC governments
Technisches Hilfswerk (THW),DAC governments
MS Denmark,DAC governments
Sweden,DAC governments
Canada,DAC governments
Germany,DAC governments
Swiss Disaster Relief Unit,DAC governments
Integrationsrat,DAC governments
Switzerland,DAC governments
Dutch International Aid,DAC governments
ILR,DAC governments
Australia,DAC governments
Spain,DAC governments
Swedish Civil Contingencies Agency (MSB),DAC governments
Poland,DAC governments
Czech Republic,DAC governments
Peace Corps,DAC governments
Slovakia,DAC governments
United States Agency for International Development,DAC governments
New South Wales Relief Fund,DAC governments
Danidas Health Sector Programme Support,DAC governments
BUCO - CRONGD,DAC governments
The Emergency Management Agency of Greater Copenhagen,DAC governments
"Korea, Republic of",DAC governments
Inter Cooperation,DAC governments
Icelandic Crisis Response Unit,DAC governments
Japan Self Defense Forces,DAC governments
DDPS,DAC governments
BMVg,DAC governments
Portugal,DAC governments
Danish Ethiopian Mission,DAC governments
Norwegian Search and Rescue,DAC governments
Japan,DAC governments
DKKV - German Committee for Disaster Reduction,DAC governments
U.S. Committee for Refugees and Immigrants,DAC governments
DZI - German Central Institute for Social Issues,DAC governments
Deutsches Komitee fur Katastrophenvorsorge e.V.,DAC governments
France,DAC governments
Norway,DAC governments
PLANAT,DAC governments
ADA,DAC governments
Chars Livelihoods Programme,DAC governments
Greece,DAC governments
Forsvarets forskningsinstitutt,DAC governments
Norfund,DAC governments
Belgian First Aid and Support Team,DAC governments
Italian Agency for Food Aid (AGEA),DAC governments
Deutscher Entwicklungsdienst,DAC governments
Danish Fellowship Centre,DAC governments
Statens Forurensningstilsyn,DAC governments
"Leadership, Management and Sustainability Program",DAC governments
New Zealand,DAC governments
Promoting Recovery in Zimbabwe,DAC governments
Buco Cotonou,DAC governments
France Cooperation Internationale,DAC governments
CoopÈration Humanitaire Luxembourg,DAC governments
Meteorologisk Institutt,DAC governments
Access to Quality Education Program,DAC governments
Centers for Disease Control,DAC governments
National Oceanic and Atmospheric Administration,DAC governments
Japan International Cooperation Agency,DAC governments
Peace Corps Organization,DAC governments
U.S. Forest Service,DAC governments
KFW Development,DAC governments
Italian Agency for Development Cooperation,DAC governments
Italy,DAC governments
Madad Organization,foundations
AFD,DAC governments
Agencia EspaÒola de CooperaciÛn Internacional,DAC governments
Army Corps of Engineers,DAC governments
Australian Community Assistance Scheme,DAC governments
Austria,DAC governments
Austrian Development Agency,DAC governments
Austrian Embassy/Armenia,DAC governments
BAM - Federal Institute for Materials Research and Testing,DAC governments
Belgian Air Force,DAC governments
Belgium,DAC governments
BLD - Barne- og likestillingsdepartementet,DAC governments
British Embassy in Khartoum (Sudan),DAC governments
BUCO - Bureau de la CoopÈration Suisse,DAC governments
Bundesministerium der Verteidigung,DAC governments
BWG/Changjang Water Resources Commission,DAC governments
Canadian Funds for Local Initiatives,DAC governments
Canadian InterNational Development Agency/InterNational Humanitarian Assistance,DAC governments
Catalan Agency for Development Cooperation,DAC governments
"CHMI, CTU/EPFL (Czech Hydrometeorological Institute)",DAC governments
City of Ingolstadt,DAC governments
City of Konstanz,DAC governments
City of Munich (Germany),DAC governments
ComitÈ InterministÈriel pour líAide Alimentaire,DAC governments
CoopÈration Technique Belge,DAC governments
"Council of A Coruna, Spain",DAC governments
"Council of Huelva, Spain (thru FAMSI)",DAC governments
Czech Republic Ministry of Foreign Affairs,DAC governments
DANIDA,DAC governments
Danidas Health Sector Programme Support ,DAC governments
Danish Emergency Management Agency,DAC governments
Denmark,DAC governments
Deutsche Gesellschaft fur Technische Zusammenarbeit - GTZ,DAC governments
DEZA,DAC governments
Direktoratet for samfunnssikkerhet og beredskap,DAC governments
DZI - German Central Institute for Social Issues ,DAC governments
Fairfax County Search and Rescue,DAC governments
FEA Austria DFA/UFAEG,DAC governments
Federal Foreign Office,DAC governments
FEWS,DAC governments
Finland,DAC governments
France CoopÈration InterNationale,DAC governments
German Embassy in Bangladesh,DAC governments
German Embassy Sofia,DAC governments
